Job Title,Company,Skills,Location,Salary,Experience
Frappe Techno Functional Consultant/Engineer,"


                            Technoculture Research                        
Actively hiring

","
JavaScriptPythonGitProblem SolvingGitHubREST APIBackend development+3 more ",Bangalore,"₹ 8,00,000 - 12,00,000                                    

                                    ₹ 8,00,000 - 12,00,000 /year",1 year(s)
AI Marketing Specialist (Automation),"


                            Proof-of-Skill                        

","
",Work from home,"₹ 8,00,000 - 11,00,000                                    

                                    ₹ 8,00,000 - 11,00,000 /year",1 year(s)
Data Analytics Associate,"


                            AKS Tech                        
Actively hiring

","
PythonSQLData AnalyticsMS-ExcelData InterpretationPower BITableau+3 more ",Work from home,"₹ 7,25,000 - 8,00,000                                    

                                    ₹ 7,25,000 - 8,00,000 /year",No experience required
Business Intelligence Analyst,"


                            Empower Professionals Incorporation - Talent & IT Services                        

","
",Work from home,"₹ 7,00,000 - 13,00,000                                    

                                    ₹ 7,00,000 - 13,00,000 /year",3 year(s)
Business Analyst,"


                            Money Honey Financial Services Private Limited                        

","
Business Analysis ",Mumbai,"₹ 7,00,000 - 12,00,000                                    

                                    ₹ 7,00,000 - 12,00,000 /year",No experience required
Business Analyst,"


                            IQ-Line Private Limited                        

","
Data AnalyticsMS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)Research and AnalyticsPower Query ","Delhi, Gurgaon, Noida","₹ 7,00,000 - 11,00,000                                    

                                    ₹ 7,00,000 - 11,00,000 /year",1 year(s)
SD-1,"


                            Wokelo AI                        

","
PythonDjangoAPINatural Language Processing (NLP) ",Work from home,"₹ 7,00,000 - 10,00,000                                    

                                    ₹ 7,00,000 - 10,00,000 /year",No experience required
Electrical Engineering Associate,"


                            AKS Tech                        
Actively hiring

","
AutoCADMATLABMachine LearningCircuit DesignSimulinkMachine Learning Operations (MLOps)Electric Vehicle Technology ",Work from home,"₹ 7,00,000 - 8,00,000                                    

                                    ₹ 7,00,000 - 8,00,000 /year",No experience required
Business Analyst,"


                            Newtuple Technologies Private Limited                        
Actively hiring

","
Research and AnalyticsGenerative AI Tools ",Pune,"₹ 6,00,000 - 10,00,000                                    

                                    ₹ 6,00,000 - 10,00,000 /year",1 year(s)
Data Analyst,"


                            Proof-of-Skill                        

","
","Ahmedabad, Chennai, Maharashtra, Haryana, Noida, Nanakramguda, Bangalore","₹ 6,00,000 - 10,00,000                                    

                                    ₹ 6,00,000 - 10,00,000 /year",1 year(s)
Embedded Firmware Engineer (Ambarella / Linux / Edge AI),"


                            Alchi Design Studio                        

","
",Work from home,"₹ 6,00,000 - 9,60,000                                    

                                    ₹ 6,00,000 - 9,60,000 /year",2 year(s)
SAP COPA Consultant,"


                            VDTS India Private Limited                        

","
SAP ","Hyderabad, Bangalore","₹ 6,00,000 - 9,00,000                                    

                                    ₹ 6,00,000 - 9,00,000 /year",1 year(s)
Big Data Trainee,"


                            Omadus Infotech                        
Actively hiring

","
CopywritingData entry ",Work from home,"₹ 6,00,000 - 8,00,000                                    

                                    ₹ 6,00,000 - 8,00,000 /year",No experience required
Data Analyst,"


                            California Burrito                        
Actively hiring

","
PythonSQLMathematicsMS-ExcelPower BI ",Bangalore,"₹ 6,00,000 - 7,00,000                                    

                                    ₹ 6,00,000 - 7,00,000 /year",1 year(s)
Artificial Intelligence (AI) Specialist,"


                            Kloudrac Softwares Private Limited                        

","
Artificial intelligenceData AnalysisData Engineering ",Delhi,"₹ 6,00,000 - 7,00,000                                    

                                    ₹ 6,00,000 - 7,00,000 /year",1 year(s)
ML/AI Developer – Generative AI & Agentic AI,"


                            Earnest Fintech Limited                        

","
Generative AI DevelopmentLangChain ",Noida,"₹ 6,00,000 - 6,50,000                                    

                                    ₹ 6,00,000 - 6,50,000 /year",No experience required
Junior Full Stack Developer,"


                            Vitals7                        
Actively hiring

","
PHPMySQLJavaScriptPythonAngularJSNode.jsReact ",Work from home,"₹ 5,50,000 - 12,00,000                                    

                                    ₹ 5,50,000 - 12,00,000 /year",1 year(s)
Data Analytics Specialist,"


                            Harshad Enterprises                        
Actively hiring

","
PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau ",Bangalore,"₹ 5,50,000 - 6,00,000                                    

                                    ₹ 5,50,000 - 6,00,000 /year",No experience required
Artificial Intelligence (AI) Associate,"


                            Sorello (London, United Kingdom)                        
Actively hiring

","
Artificial intelligence ",Work from home,"₹ 5,00,000 - 11,00,000                                    

                                    ₹ 5,00,000 - 11,00,000 /year",1 year(s)
Growth Analyst (Fresher),"


                            Gabit                        
Actively hiring

","
Data AnalyticsMarket AnalysisMarketing Strategies Marketing Campaigns  ","Faridabad, Delhi, Gurgaon, Noida","₹ 5,00,000 - 10,00,000                                    

                                    ₹ 5,00,000 - 10,00,000 /year",No experience required
Performance Marketing Specialist,"


                            Guerdon Kicks                        
Actively hiring

","
Google AnalyticsDigital MarketingGoogle AdWordsDigital AdvertisingDisplay AdsFacebook AdsMarketing Strategies +2 more ",Gurgaon                                                                    (Hybrid),"₹ 5,00,000 - 10,00,000                                    

                                    ₹ 5,00,000 - 10,00,000 /year",1 year(s)
AI Engineer,"


                            Taxmann                        

","
",Delhi,"₹ 5,00,000 - 8,00,000                                    

                                    ₹ 5,00,000 - 8,00,000 /year",1 year(s)
Business Analyst,"


                            Sped@home                        
Actively hiring

","
Microsoft VisioLucidchartJiraConfluenceMiro ",Mumbai,"₹ 5,00,000 - 7,00,000                                    

                                    ₹ 5,00,000 - 7,00,000 /year",1 year(s)
Data Analytics Associate,"


                            Harshad Enterprises                        
Actively hiring

","
PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau ",Bangalore,"₹ 5,00,000 - 6,50,000                                    

                                    ₹ 5,00,000 - 6,50,000 /year",No experience required
Data Analytics Executive,"


                            Harshad Enterprises                        
Actively hiring

","
PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau ",Bangalore,"₹ 5,00,000 - 6,50,000                                    

                                    ₹ 5,00,000 - 6,50,000 /year",No experience required
